time,laccx,laccy,laccz,grax,gray,graz,gyrx,gyry,gyrz,accx,accy,accz,magx,magy,magz
113377340,0.597856,-0.53197765,0.22021058,-0.1251947,9.690071,1.5008997,-0.0764225,-0.123048745,0.042515,0.37974465,9.397413,2.3423605,42.240005,47.70375,148.41751
113377360,1.2785693,0.2994246,0.6836018,0.0617809,9.674881,1.6006458,0.08498875,0.011934999,-0.012265,0.75099,10.044781,1.5350101,42.390003,47.538754,148.35
113377380,-1.715244,0.8046427,-0.5275381,0.13312781,9.67797,1.5753756,0.01373625,0.09794125,-0.09704749,-1.0204201,10.22523,1.4932201,42.3675,47.2725,148.7025
113377400,0.3102948,-0.13112283,-0.12568127,-0.115459524,9.680203,1.564733,-0.03795,-0.11437105,0.073135525,0.30192626,9.781809,1.9743159,41.44125,47.3175,148.08
113377420,0.64866936,0.14436716,0.16666506,0.029900052,9.680057,1.570128,0.044405628,0.012175625,-0.055419378,0.25620005,9.750601,1.0113826,41.1225,47.193752,147.81
113377440,-0.9903428,-0.20329961,-0.618134,0.022840051,9.690009,1.5066316,-0.038369376,0.04323,-0.02228875,-0.69218254,9.3729,1.3527676,41.100002,46.82625,147.6825
113377460,0.044250418,-0.3285467,0.47091576,-0.112659425,9.692637,1.486687,0.007280263,-0.07102237,0.008271711,-0.00831756,9.594683,1.2491176,41.430004,46.45875,147.28125
113377480,0.4362442,0.4044864,-0.377996,-0.065340005,9.692885,1.487845,0.022742502,-0.004675,-0.0102025,0.19699737,9.927963,1.6686871,41.2275,46.432503,147.2775
113377500,0.0046925996,-0.38714844,0.0861518,-0.024056802,9.692012,1.4948926,-0.04048,-0.00319,-0.023155,0.118080005,9.386265,1.6006501,40.871254,46.578754,147.15
113377520,-0.022797406,-0.116449386,0.112499595,-0.020031,9.690909,1.5020648,0.030360002,0.0031625,-0.02244,-0.158115,9.613485,1.3310851,41.085,46.567505,146.8725
113377540,-0.26585397,0.18854815,-0.33377123,-0.046646364,9.691573,1.4971015,0.00526842,-3.401318E-4,-0.0165,-0.1987737,9.824195,1.6414738,40.916252,46.70625,146.7225
113377560,-0.14332224,-0.17183974,0.47939575,-0.082668245,9.692189,1.4914387,-0.017565625,-0.0114124995,-0.015434375,-0.2627625,9.529725,1.4415375,39.85125,46.74375,146.265
113377580,-0.3104475,0.2135705,-0.352185,-0.11726175,9.685075,1.5347008,0.040975,0.0027156253,-0.0050531253,-0.4214625,9.943275,2.148225,39.885002,46.39875,146.02126
113377600,-0.17402273,0.29944345,0.4612615,-0.16620058,9.686909,1.5177642,-0.013156581,-0.028860526,0.0033289464,-0.38452503,9.995476,0.5532375,40.061253,46.2675,146.0775
113377620,0.11233294,-0.22925761,0.4718356,-0.185329,9.690468,1.4906193,-0.02662,-0.03733125,-0.0035612509,-0.043760516,9.294451,2.168329,40.2675,46.121254,146.145
113377640,0.6915179,0.026623905,-0.8214583,-0.1324226,9.668748,1.6313035,0.076450005,-0.007919997,0.016293751,0.74157,10.066051,2.73855,40.072502,46.0275,145.96126
113377660,-0.7799971,0.4495791,-0.17121968,-0.06922681,9.677243,1.5817915,0.046213746,0.0576125,-0.05432625,-1.3006501,10.002211,0.82803,39.9225,45.1575,145.6275
113377680,-0.027050585,0.071793266,0.5774722,-0.20530416,9.689623,1.496064,-0.042936184,-0.0638217,0.033571713,0.37240267,9.569906,1.3456501,39.945004,44.553753,145.51125
113377700,0.6094302,0.24332164,-0.108237624,-0.13150069,9.68226,1.5502939,0.043223128,-0.011501871,-0.01797125,0.26729998,10.009636,1.9637927,40.15125,44.366253,145.98001
113377720,-0.37117815,0.34093884,-0.42991456,-0.0900519,9.684724,1.5372503,0.023216873,0.023168748,-0.017579373,-0.5874,10.075208,1.1134576,39.285,44.058754,146.1
113377740,0.3164397,-0.13579346,0.16289926,-0.12614042,9.692813,1.4838247,-0.012396708,-0.043782894,0.003755921,0.43906507,9.458108,1.7218351,38.53125,44.1225,146.19
113377760,0.089197636,0.1328148,-0.24446401,-0.059239604,9.687778,1.5209563,0.0499675,0.019085001,-0.020212501,-0.04052367,9.981679,1.7488028,37.965,44.261253,145.55252
113377780,-0.5851458,0.10035102,-0.19624664,-0.0902526,9.692946,1.4837523,0.005252501,0.0035750028,-0.0153175015,-0.91026,9.8211,0.95119506,37.72125,44.287506,144.84752
113377800,0.35117543,-0.4284042,0.2826572,-0.14834961,9.698311,1.4453967,-0.025382498,-0.057255,0.015345001,0.529305,9.008355,1.4030551,37.8675,44.182503,144.8625
113377820,0.22049338,0.013033375,-0.11772779,-0.065099895,9.693188,1.4853286,0.05124408,0.009386184,-0.016167104,0.11352631,9.887266,1.8049974,37.627502,43.67625,145.05
113377840,-0.40098694,0.18572709,-0.1795468,-0.07628475,9.698793,1.4455037,-0.0016293749,-0.01090375,-0.012306251,-0.88899755,10.050248,0.48635253,37.27125,43.706253,145.4175
113377860,0.68305945,-0.42439628,0.42463464,-0.09020465,9.701845,1.4244509,-0.03425125,-0.056849375,0.013447501,1.0691999,8.900753,2.110845,37.05,43.39875,145.26001
113377880,0.032295406,0.18898079,0.065077364,0.032493316,9.687865,1.520026,0.07680461,0.038876317,-0.039194737,0.15849751,9.979095,1.9995526,37.4925,43.2675,144.87001
113377900,-0.83972096,0.8453835,-0.11028899,-0.020756003,9.688946,1.5100865,0.02770625,0.010725003,-0.019731248,-1.42095,10.83705,1.06095,37.327503,42.92625,144.96751
113377920,0.1252655,0.21274601,0.4513435,-0.11182751,9.689491,1.5063225,-0.022275,-0.047299996,0.009006251,0.44805002,9.594001,2.2669501,37.21125,42.60375,144.8325
113377940,-0.14330852,0.2169305,0.213133,-0.0838795,9.682913,1.5505965,0.044206247,0.012856251,-0.02399375,-0.21495001,9.891001,1.2070501,36.81,41.478752,144.7875
113377960,-0.46813852,0.39452624,-0.23530532,-0.14049721,9.6873455,1.5168383,0.020313814,-0.010298027,0.0015414488,-0.9342975,10.225299,1.1175,36.772503,41.752502,144.0075
113377980,0.18312575,-0.03198859,-0.045395,-0.17890641,9.6883335,1.5079228,0.012333752,-0.032243747,0.0093225,0.3614475,9.6294,2.2287,36.7275,42.0675,143.72252
113378000,-0.27112204,0.127628,-0.02698332,-0.16029894,9.688295,1.5104613,0.050173752,0.010140625,-0.01049125,-0.55065,9.765856,1.1291026,36.232502,42.937504,144.03
113378020,-0.25772327,0.070730835,-0.33674806,-0.21998346,9.694969,1.4579899,0.0020407885,-0.02648684,0.013728291,-0.6478974,9.978624,0.9645238,36.307503,42.513752,143.6925
113378040,0.2429004,-0.42268702,-0.079432786,-0.22730881,9.698819,1.4320631,-0.001375,-0.030002499,0.016169999,0.18096001,9.104956,1.656945,36.401253,42.35625,143.91751
113378060,0.041897193,-0.036790386,-0.12721002,-0.1872008,9.701755,1.4180678,0.03971,-0.0033824998,0.005995,-0.179055,9.617701,1.012305,36.127502,41.92125,144.0
113378080,-0.19566579,0.026920795,-0.2071624,-0.1928966,9.707956,1.3739961,-0.0060225036,-0.01254,0.0036574998,-0.3957316,9.932322,1.1258922,36.25125,42.5325,143.43001
113378100,0.2257075,-0.24411748,0.33116925,-0.21132457,9.707508,1.3746557,-0.0074322373,-0.030698683,0.021659868,-0.09705751,9.315594,1.7283001,36.54,42.1875,143.1375
113378120,0.1836576,0.3216792,-0.13154072,-0.16303745,9.702069,1.4183284,0.045154996,-0.008958126,0.0030250018,0.20325,10.059909,1.5420002,36.450005,40.616253,142.77
113378140,0.0924422,0.11104467,-0.06347706,-0.1380242,9.703083,1.4146705,-0.019311871,-0.014107498,0.0060568745,-0.19755001,9.98625,1.5689926,36.3675,39.581253,142.2075
113378160,-0.17647001,-0.33385116,0.5379339,-0.1212869,9.70084,1.4313884,-0.00501513,0.0100157885,-0.0046677636,-0.08352631,9.180095,1.5195869,36.221252,39.607502,142.4175
113378180,-0.310103,0.32870355,-0.5187234,-0.17327361,9.694923,1.4652824,0.05237375,-0.02074875,0.01386,-0.57681006,9.923401,1.3090501,36.322502,39.65625,142.89
113378200,0.84058774,0.1950357,0.49642292,-0.1672847,9.702652,1.4138362,-0.0306075,-0.05874,0.02531375,0.56037,10.079011,1.4854501,36.596252,39.08625,142.40251
113378220,0.06080702,-0.25776118,-0.21540186,-0.032285705,9.694071,1.4780071,0.019854998,0.046777498,-0.024928749,0.29403946,9.375671,1.8001027,36.65625,38.89875,142.45125
113378240,-0.9239242,0.27290744,-0.49866405,-0.09955311,9.695551,1.4665453,0.059125,0.004407238,-0.0016572373,-1.0742625,10.009238,1.3737751,36.61125,38.0625,142.74
113378260,0.65205145,0.23266976,0.15310574,-0.18369974,9.707277,1.3795745,-0.031934373,-0.07682813,0.037503127,0.22545001,9.983475,1.0577251,36.120003,37.72125,142.365
113378280,0.31347448,-0.2294005,0.33140373,-0.058813,9.701863,1.4257411,0.0023718746,0.014678126,-0.019421875,0.51022506,9.477526,1.84305,36.0,37.3875,142.30125
113378300,-0.44099075,0.33503374,-0.40092075,-0.05735025,9.700087,1.4403789,0.040734373,0.0059468746,-0.007459375,-0.5378053,9.913635,1.1068263,36.045002,37.1325,142.6125
